,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Gold Coast,AU,77.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
242,Nueva Gerona,CU,77.0,scattered clouds,21.8833,-82.8,Villa Gerona
244,Catuday,PH,79.36,overcast clouds,16.2923,119.8062,GResort
250,Faanui,PF,82.11,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
252,Poum,NC,79.83,overcast clouds,-20.2333,164.0167,Gîte kajeon
254,Tchollire,CM,80.69,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
256,Kailua,US,77.0,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
257,Waw,SS,81.34,broken clouds,7.7029,27.9953,Universal Gab Hotel
259,Progreso,MX,80.6,few clouds,21.2833,-89.6667,Playa Linda Hotel
261,Tartagal,AR,77.14,few clouds,-22.5164,-63.8013,Almuñecar Hotel
278,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
279,Minna,NG,80.55,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
283,Socorro,US,75.2,scattered clouds,31.6546,-106.3033,guarderia imss papalote
288,Nelson Bay,AU,82.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
289,Jaque,PA,77.58,light rain,7.5175,-78.1703,Imbu Bua Lodge
295,Vao,NC,77.36,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
297,Kaset Sombun,TH,82.0,clear sky,16.2805,101.9542,BoonTewa Hotel
301,Concordia,AR,77.0,clear sky,-31.393,-58.0209,Palmar Hotel Casino
302,Pisco,PE,75.2,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
307,Noumea,NC,87.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
308,Kishi,NG,78.85,overcast clouds,9.0833,3.85,AMARC GUEST HOUSE
314,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
316,Amuntai,ID,82.08,overcast clouds,-2.4177,115.2494,Hotel Balqis
334,Marica,BR,80.01,broken clouds,-22.9194,-42.8186,Marica Hills
342,Cairns,AU,88.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
347,Singaraja,ID,83.97,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
