,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Datong,CN,40.0936,113.2914,45.05,57,0,3.87,clear sky
112,Yerbogachen,RU,61.2767,108.0108,3.29,94,84,5.14,broken clouds
113,Stavern,NO,59.0,10.0333,36.0,100,90,23.02,snow
114,Guider,CM,9.9342,13.9486,82.36,15,27,3.69,scattered clouds
115,Lagoa,PT,39.05,-27.9833,57.81,83,100,11.61,overcast clouds
116,Ribeira Grande,PT,38.5167,-28.7,58.8,86,100,13.09,overcast clouds
117,Punta Arenas,CL,-53.15,-70.9167,46.4,57,75,23.02,broken clouds
118,Helong,CN,42.5397,128.9972,48.72,51,13,9.22,few clouds
119,Sambava,MG,-14.2667,50.1667,74.95,88,70,5.55,broken clouds
120,Ulladulla,AU,-35.35,150.4667,75.99,64,75,6.91,broken clouds
121,Nome,US,64.5011,-165.4064,-9.4,59,1,12.66,clear sky
122,Srednekolymsk,RU,67.45,153.6833,-0.08,86,100,10.13,overcast clouds
123,Vanimo,PG,-2.6741,141.3028,84.54,62,98,7.36,overcast clouds
124,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,20,12.66,light rain
125,Sajanan,TN,37.0573,9.2426,55.4,71,40,14.97,scattered clouds
126,Bambanglipuro,ID,-7.95,110.2833,80.29,78,75,3.67,broken clouds
127,San Pedro,PH,14.35,121.0167,86.0,57,20,2.3,few clouds
128,Itarema,BR,-2.9248,-39.9167,78.58,83,100,9.73,overcast clouds
129,Basoko,CD,1.2391,23.616,72.73,88,3,3.11,clear sky
130,Airai,TL,-8.9266,125.4092,70.95,86,52,1.25,broken clouds
131,Yankton,US,42.8711,-97.3973,30.2,93,90,25.32,light snow
132,Lamu,KE,-2.2717,40.902,78.8,83,1,9.22,clear sky
133,Saskylakh,RU,71.9167,114.0833,-15.27,84,100,21.36,overcast clouds
134,Urusha,RU,54.05,122.9,14.74,92,92,2.51,overcast clouds
135,Lac-Megantic,CA,45.5834,-70.8823,39.2,48,1,4.61,clear sky
136,Nikolskoye,RU,59.7035,30.7861,5.0,60,0,8.95,clear sky
137,Codrington,AU,-38.2667,141.9667,68.56,55,85,8.93,overcast clouds
138,Talnakh,RU,69.4865,88.3972,-29.45,82,99,6.44,overcast clouds
139,Ermelo,ZA,-26.5333,29.9833,53.96,41,0,2.13,clear sky
140,North Bend,US,43.4065,-124.2243,51.01,81,75,11.5,broken clouds
141,Kahului,US,20.8947,-156.47,80.6,69,40,18.41,light rain
142,Price,US,39.5994,-110.8107,41.0,24,90,8.97,overcast clouds
143,Kenai,US,60.5544,-151.2583,30.2,80,90,17.27,light snow
144,Gasa,PS,31.5,34.4667,62.01,58,53,9.26,broken clouds
145,Nanortalik,GL,60.1432,-45.2371,24.4,93,88,17.94,overcast clouds
146,Mokhsogollokh,RU,61.4681,128.9203,5.2,92,63,8.55,broken clouds
147,Torbay,CA,47.6666,-52.7314,30.0,80,1,14.97,clear sky
148,Khani,GE,41.9563,42.9566,51.8,37,90,18.41,overcast clouds
149,Tual,ID,-5.6667,132.75,82.74,73,45,2.68,scattered clouds
150,Awash,ET,8.9833,40.1667,69.06,72,0,2.1,clear sky
151,Coquimbo,CL,-29.9533,-71.3436,64.4,77,0,6.91,clear sky
152,Quatre Cocos,MU,-20.2078,57.7625,78.8,78,40,6.91,light rain
153,Katsuura,JP,35.1333,140.3,53.01,45,0,4.0,clear sky
154,Sitka,US,57.0531,-135.33,39.2,70,90,12.66,overcast clouds
155,Smolensk,RU,55.0,33.0,-3.01,89,51,5.66,broken clouds
156,Saldanha,ZA,-33.0117,17.9442,64.02,94,76,12.03,light rain
157,Kongolo,CD,-5.3833,27.0,68.29,92,100,3.0,overcast clouds
158,Georgetown,MY,5.4112,100.3354,82.4,78,20,3.44,few clouds
159,Lasa,IT,46.6166,10.7002,37.0,63,0,4.61,clear sky
160,Gigmoto,PH,13.7796,124.39,80.62,76,50,18.41,scattered clouds
161,Lompoc,US,34.6391,-120.4579,53.6,62,75,11.5,broken clouds
162,Kavieng,PG,-2.5744,150.7967,85.21,60,67,4.79,broken clouds
163,Komsomolskiy,UZ,40.4272,71.7189,44.6,81,90,11.5,overcast clouds
164,Geraldton,AU,-28.7667,114.6,77.0,73,90,3.44,overcast clouds
165,Altamont,US,42.2068,-121.7372,37.99,65,90,13.8,overcast clouds
166,Ahipara,NZ,-35.1667,173.1667,70.07,69,25,10.4,scattered clouds
167,Dingle,PH,10.9995,122.6711,81.21,74,60,15.7,broken clouds
168,Auki,SB,-8.7676,160.7034,82.36,78,100,6.89,overcast clouds
169,Meadow Lake,US,34.8014,-106.5436,61.0,12,20,12.66,few clouds
170,Chabahar,IR,25.2919,60.643,72.45,78,0,6.55,clear sky
171,Lata,PT,40.1629,-8.3327,55.0,89,100,1.01,overcast clouds
172,Port Hedland,AU,-20.3167,118.5667,87.8,74,75,11.5,broken clouds
173,Salalah,OM,17.0151,54.0924,71.6,40,0,5.75,clear sky
174,Hofn,IS,64.2539,-15.2082,38.77,73,13,12.5,few clouds
175,Zhezkazgan,KZ,47.8043,67.7144,23.77,98,100,20.78,light snow
176,Berlevag,NO,70.8578,29.0864,17.2,92,100,22.28,overcast clouds
177,Husavik,IS,66.0449,-17.3389,32.0,86,90,24.16,light snow
178,Puerto Ayacucho,VE,5.6639,-67.6236,81.99,66,100,3.6,overcast clouds
179,Owosso,US,42.9978,-84.1766,64.4,52,90,12.66,overcast clouds
180,Constitucion,CL,-35.3333,-72.4167,61.54,94,60,5.77,broken clouds
181,Sioux Lookout,CA,50.1001,-91.917,26.6,59,75,8.05,broken clouds
182,Nizwa,OM,22.9333,57.5333,65.37,28,0,2.37,clear sky
183,Evensk,RU,61.95,159.2333,-9.89,86,22,2.86,few clouds
184,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,40,6.91,scattered clouds
185,Mar Del Plata,AR,-38.0023,-57.5575,70.0,73,0,11.5,clear sky
186,Kishtwar,IN,33.3167,75.7667,43.97,55,100,4.16,overcast clouds
187,Lebu,CL,-37.6167,-73.65,57.9,87,38,5.79,scattered clouds
188,Paamiut,GL,61.994,-49.6678,22.71,96,100,15.41,light snow
189,Roald,NO,62.5833,6.1333,41.0,52,90,19.57,light rain
190,Gat,IL,31.61,34.7642,62.01,58,65,7.92,broken clouds
191,Moron,AR,-34.6534,-58.6198,75.99,71,22,4.0,few clouds
192,Skibbereen,IE,51.55,-9.2667,46.4,87,75,32.21,broken clouds
193,Lerwick,GB,60.1545,-1.1494,44.6,93,40,13.8,scattered clouds
194,Muskogee,US,35.5834,-95.3336,71.6,56,90,18.41,overcast clouds
195,Port Elizabeth,ZA,-33.918,25.5701,66.2,88,20,9.22,moderate rain
196,Dzilam Gonzalez,MX,21.2833,-88.9333,74.41,71,0,9.57,clear sky
197,Verkhnevilyuysk,RU,63.4453,120.3167,-2.54,90,2,8.32,clear sky
198,Peniche,PT,39.3558,-9.3811,53.01,90,100,6.38,overcast clouds
199,Tuatapere,NZ,-46.1333,167.6833,57.0,66,21,3.0,few clouds
200,Chicama,PE,-7.8447,-79.1469,73.4,88,40,8.05,scattered clouds
201,Bonfim,BR,3.0833,-59.95,84.83,47,100,7.78,overcast clouds
202,Haines Junction,CA,60.7522,-137.5108,39.2,30,93,13.8,overcast clouds
203,Fayaoue,NC,-20.65,166.5333,79.47,66,1,10.2,clear sky
204,Ende,ID,-8.8432,121.6623,81.82,74,100,3.13,overcast clouds
205,Eureka,US,40.8021,-124.1637,51.01,72,100,8.99,overcast clouds
206,Svetlaya,RU,46.5389,138.3297,33.04,83,0,2.44,clear sky
207,Alofi,NU,-19.0595,-169.9187,84.2,54,95,10.36,overcast clouds
208,Bani,DO,18.2833,-70.3333,73.99,89,12,5.01,few clouds
209,Berdigestyakh,RU,62.0989,126.6992,1.96,92,97,7.81,overcast clouds
210,Cowansville,CA,45.2001,-72.7491,48.2,60,9,1.14,clear sky
211,Yeppoon,AU,-23.1333,150.7333,82.4,69,74,9.22,broken clouds
212,Altay,CN,47.8667,88.1167,29.59,77,91,5.28,overcast clouds
213,Mitsamiouli,KM,-11.3847,43.2844,81.43,76,100,6.89,light rain
214,Coalinga,US,36.1397,-120.3602,51.01,76,100,15.23,light rain
215,Dakar,SN,14.6937,-17.4441,62.6,88,100,11.5,overcast clouds
216,Kungsbacka,SE,57.4872,12.0761,34.0,64,90,17.27,light snow
217,Quatis,BR,-22.4072,-44.2581,68.32,92,100,1.39,overcast clouds
218,Ayan,RU,56.45,138.1667,20.08,87,100,7.96,overcast clouds
219,Marshall,US,34.3834,-86.3333,62.6,45,1,5.75,clear sky
220,Mortka,RU,59.3322,66.0214,-9.71,90,100,8.72,overcast clouds
221,Altamira,BR,-3.2033,-52.2064,71.62,97,99,2.64,overcast clouds
222,Noyabrsk,RU,63.1994,75.4507,-30.46,85,0,9.22,clear sky
223,Dikson,RU,73.5069,80.5464,-8.5,91,100,22.24,overcast clouds
224,Andenes,NO,69.3143,16.1194,24.01,63,0,12.66,clear sky
225,Comrat,MD,46.3003,28.6572,29.43,84,100,9.26,overcast clouds
226,Tessalit,ML,20.1986,1.0114,66.18,23,65,7.61,broken clouds
227,Sosnovo-Ozerskoye,RU,52.5249,111.5418,16.66,93,0,3.83,clear sky
228,Bethel,US,41.3712,-73.414,46.4,57,1,4.61,clear sky
229,Stromness,GB,58.965,-3.296,44.6,87,100,17.27,overcast clouds
230,Souillac,MU,-20.5167,57.5167,78.8,78,40,6.91,scattered clouds
231,Kvarkeno,RU,52.0833,59.725,3.4,91,99,17.27,overcast clouds
232,Lang Son,VN,21.8333,106.7333,70.61,83,94,3.67,overcast clouds
233,Arlit,NE,18.7369,7.3853,82.67,13,0,8.9,clear sky
234,Aksha,RU,50.2814,113.2867,21.96,90,44,1.66,scattered clouds
235,Stanislav,UA,46.5691,32.1478,28.99,85,100,16.15,overcast clouds
236,Tasiilaq,GL,65.6145,-37.6368,12.2,85,0,8.05,clear sky
237,Hasaki,JP,35.7333,140.8333,52.0,50,20,3.44,few clouds
238,Jefferson City,US,38.5767,-92.1735,69.8,52,90,20.71,overcast clouds
239,Whitehorse,CA,60.7161,-135.0538,30.2,43,75,19.57,snow
240,Macheng,CN,31.1783,115.0319,55.99,74,100,2.95,overcast clouds
241,Gold Coast,AU,-28.0,153.4333,77.0,88,90,8.05,overcast clouds
242,Nueva Gerona,CU,21.8833,-82.8,77.0,63,43,20.27,scattered clouds
243,Amapa,BR,1.0,-52.0,71.28,98,100,2.17,overcast clouds
244,Catuday,PH,16.2923,119.8062,79.36,65,94,10.04,overcast clouds
245,Rincon,US,32.296,-81.2354,64.4,52,20,8.05,few clouds
246,Langenburg,DE,49.2544,9.8458,41.0,60,90,3.44,light rain
247,Jinxiang,CN,27.4327,120.6062,56.17,76,100,5.41,overcast clouds
248,Kaliua,TZ,-5.0606,31.7936,63.61,95,0,3.22,clear sky
249,Nouadhibou,MR,20.931,-17.0347,62.19,78,89,25.48,overcast clouds
250,Faanui,PF,-16.4833,-151.75,82.11,72,16,10.94,few clouds
251,Port Hardy,CA,50.6996,-127.4199,46.4,71,20,9.22,few clouds
252,Poum,NC,-20.2333,164.0167,79.83,69,86,11.86,overcast clouds
253,Plettenberg Bay,ZA,-34.0527,23.3716,63.93,91,100,10.33,moderate rain
254,Tchollire,CM,8.4022,14.1698,80.69,23,100,3.76,overcast clouds
255,Marsh Harbour,BS,26.5412,-77.0636,69.85,75,3,25.99,clear sky
256,Kailua,US,21.4022,-157.7394,77.0,83,20,12.66,light rain
257,Waw,SS,7.7029,27.9953,81.34,27,82,2.75,broken clouds
258,Keetmanshoop,NA,-26.5833,18.1333,65.91,52,0,10.13,clear sky
259,Progreso,MX,21.2833,-89.6667,80.6,54,20,12.66,few clouds
260,Alekseyevka,RU,50.6309,38.6903,11.3,88,17,9.55,few clouds
261,Tartagal,AR,-22.5164,-63.8013,77.14,54,14,4.16,few clouds
262,Okha,RU,53.5739,142.9478,20.01,96,100,4.9,overcast clouds
263,Iqaluit,CA,63.7506,-68.5145,-18.4,69,20,9.22,few clouds
